ANDE,47.725,-1.293,1625990893.0,57,105515.0,7,54,0.0,Missing Data
ANEB,1.44,0.0,37343832.0,57,1360.0,6,19,3.0,Missing Data
ANG^A,25.35,0.278,0.0,57,17542.0,5,62,0.0,Missing Data
ANG^B,25.4129,-0.224,0.0,57,13920.0,5,62,0.0,Missing Data
ANGHW,0.025,-37.5,742741.0,55,11983.0,1,140,0.0,Missing Data
ANSCW,0.2498,-0.04,0.0,57,400.0,5,62,0.0,Missing Data
AOMN,25.245,-0.02,0.0,57,12832.0,4,124,0.0,Missing Data
APCXW,0.1547,-22.573,4276865.0,57,5000.0,10,34,0.0,Missing Data
APLMW,0.0103,-48.5,11357.0,57,199127.0,6,19,0.0,Missing Data
APO^A,90.7798,-0.033,0.0,57,52678.0,5,62,0.0,Missing Data
APOS,27.08,-0.111,15422988059.0,57,28318.0,4,72,37.0,Missing Data
AQNB,25.6973,0.223,19709572127.0,57,10513.0,12,48,5.0,Missing Data
ARBEW,0.16,0.0,12515449.0,28,70.0,10,47,0.0,Missing Data
ARBKL,8.05,-2.778,5122617500.0,56,15839.0,4,57,0.0,Missing Data
AREBW,0.0083,0.0,7845.0,57,27.0,7,112,0.0,Missing Data
ARES^B,55.77,0.8,0.0,57,58418.0,5,62,0.0,Missing Data
ARGD,22.16,-0.225,288.0,4,7111.0,4,138,0.0,Missing Data
ARGO^A,24.8592,-0.043,0.0,4,11425.0,5,62,0.0,Missing Data
ARKOW,0.4125,-18.863,47755669.0,57,29086.0,2,59,0.0,Missing Data
ARR^C,22.51,-0.486,0.0,57,8884.0,5,62,0.0,Missing Data
ARTNA,33.78,-0.676,347864582.0,57,15240.0,12,148,0.0,Missing Data
ARTV,12.615,-1.059,306409873.0,57,33956.0,6,14,0.0,Missing Data
ASB^E,21.94,-0.205,0.0,57,1382.0,5,62,0.0,Missing Data
ASB^F,20.72,0.097,0.0,57,5931.0,5,62,0.0,Missing Data
ASBA,24.92,-0.08,3760448310.0,57,10040.0,4,74,1.0,Missing Data
ASGI,19.83,0.202,0.0,57,81142.0,4,72,4.0,Missing Data
ASTLW,1.89,-0.526,196754806.0,7,11464.0,7,139,0.0,Missing Data
ATCO^D,25.2005,0.3,0.0,56,1289.0,5,62,0.0,Missing Data
ATCO^H,24.9838,-0.384,0.0,56,6787.0,5,62,0.0,Missing Data
ATH^A,25.26,-0.394,0.0,4,41984.0,5,62,0.0,Missing Data
ATH^B,22.56,0.522,0.0,4,22933.0,5,62,0.0,Missing Data
ATH^C,25.35,0.079,0.0,4,58436.0,5,62,0.0,Missing Data
ATH^D,19.37,-0.87,0.0,4,15972.0,5,62,0.0,Missing Data
ATH^E,27.14,-0.11,0.0,4,19890.0,5,62,0.0,Missing Data
ATHS,25.66,-0.233,5229647385.0,4,17638.0,5,62,0.0,Missing Data
ATLCL,24.25,0.124,357417404.0,57,1246.0,4,57,0.0,Missing Data
ATLCZ,25.1101,0.28,370094299.0,57,13683.0,4,57,0.0,Missing Data
ATMCW,0.02,0.0,0.0,57,74210.0,4,20,1.0,Missing Data
ATMVR,0.16,14.286,0.0,57,200.0,4,20,1.0,Missing Data
ATNFW,0.0084,-4.545,16607.0,57,33271.0,6,19,7.0,Missing Data
AUB^A,25.1124,0.049,0.0,57,4390.0,5,62,0.0,Missing Data
AUROW,0.99,-1.01,1701240636.0,57,11291.0,10,47,3.0,Missing Data
AUUDW,0.0189,-4.061,107232.0,57,401.0,10,47,3.0,Missing Data
AVNS,19.12,-2.449,878697783.0,57,95609.0,6,69,10.0,Missing Data
AVNT,51.225,-0.669,4680143644.0,57,118139.0,7,75,0.0,Missing Data
AVPTW,6.69,-0.889,1254450604.0,57,3146.0,10,34,5.0,Missing Data
AXS^E,22.755,-0.394,0.0,4,22725.0,5,62,0.0,Missing Data
BA^A,55.65,-0.215,0.0,57,724248.0,5,62,0.0,Missing Data
BAC^B,25.1667,-0.29,0.0,57,26371.0,5,62,0.0,Missing Data
BAC^E,24.4,-0.489,0.0,57,13196.0,5,62,0.0,Missing Data
BAC^K,25.0637,0.215,0.0,57,22692.0,5,62,0.0,Missing Data
BAC^L,1248.5,-0.175,0.0,57,2820.0,5,62,0.0,Missing Data
BAC^M,23.1099,-0.044,0.0,57,115783.0,5,62,0.0,Missing Data
BAC^N,21.5815,-0.132,0.0,57,160788.0,5,62,0.0,Missing Data
BAC^O,19.3538,-0.187,0.0,57,110678.0,5,62,0.0,Missing Data
BAC^P,18.3179,-0.446,0.0,57,78115.0,5,62,0.0,Missing Data
BAC^Q,18.64,-0.161,0.0,57,131057.0,5,62,0.0,Missing Data
BAC^S,21.29,0.0,0.0,57,44274.0,5,62,0.0,Missing Data
BACQ,9.86,0.102,0.0,57,556910.0,5,62,0.0,Missing Data
BACQR,0.17,-2.857,0.0,57,65000.0,5,62,0.0,Missing Data
BACQU,10.03,-0.149,0.0,57,202.0,4,20,0.0,Missing Data
BAERW,0.1035,0.976,5593949.0,57,7629.0,1,26,0.0,Missing Data
BANC^F,24.8999,0.403,0.0,57,35430.0,5,62,0.0,Missing Data
BANFP,25.8,-0.769,854726213.0,57,978.0,4,74,0.0,Missing Data
BAYAR,0.1502,-14.073,0.0,57,5374.0,5,62,1.0,Missing Data
BC^A,24.7646,0.669,0.0,57,2570.0,5,62,0.0,Missing Data
BC^B,24.94,0.261,0.0,57,2577.0,5,62,0.0,Missing Data
BC^C,24.71,0.2,0.0,57,19620.0,5,62,0.0,Missing Data
BCAT,16.18,-0.431,1749624300.0,57,199941.0,4,56,4.0,Missing Data
BCAX,19.1,-4.548,1039338323.0,57,118927.0,6,19,0.0,Missing Data
BCBP,13.06,-2.246,222646540.0,57,21552.0,4,132,19.0,Missing Data
BCGWW,0.0614,3.367,1019391.0,57,1300.0,4,57,0.0,Missing Data
BCTXW,0.43,4.878,15410409.0,7,406345.0,6,19,0.0,Missing Data
BCV^A,24.1207,-0.163,0.0,57,1615.0,5,62,0.0,Missing Data
BCX,9.39,0.859,796816714.0,57,180849.0,4,56,13.0,Missing Data
BDMDW,0.0212,-20.301,623529.0,10,65345.0,6,81,0.0,Missing Data
BEATW,0.844,-5.158,22505657.0,57,6860.0,6,81,3.0,Missing Data
BENFW,0.0072,-8.861,36580.0,57,8780.0,4,57,0.0,Missing Data
BEP^A,18.83,-0.053,0.0,7,11926.0,5,62,0.0,Missing Data
BEPH,16.11,-1.347,4626217517.0,7,23047.0,12,48,0.0,Missing Data
BEPI,17.0641,-0.559,4900201014.0,7,11380.0,12,48,3.0,Missing Data
BEPJ,25.78,-0.679,7403096685.0,7,7053.0,12,48,0.0,Missing Data
BETRW,0.106,0.0,1605942.0,56,120.0,4,57,3.0,Missing Data
BF/A,41.06,-1.322,0.0,57,40926.0,5,62,0.0,Missing Data
BF/B,41.53,-1.541,0.0,57,1016474.0,5,62,0.0,Missing Data
BFRGW,0.35,0.0,3049603.0,57,7858.0,6,19,1.0,Missing Data
BFRIW,0.0833,0.97,645509.0,57,371.0,6,19,3.0,Missing Data
BFS^D,22.6,-1.739,0.0,57,150.0,5,62,0.0,Missing Data
BFS^E,23.1501,-0.258,0.0,57,2892.0,5,62,0.0,Missing Data
BFZ,11.72,0.171,0.0,57,116337.0,4,55,23.0,Missing Data
BHFAL,24.25,0.664,1439340611.0,57,11111.0,4,73,0.0,Missing Data
BHR^B,14.68,-1.74,0.0,57,7239.0,5,62,0.0,Missing Data
BHR^D,21.26,-0.188,0.0,57,1893.0,5,62,0.0,Missing Data
BIAFW,0.73,1.459,11376784.0,57,512.0,6,15,2.0,Missing Data
